,carat,cut,color,clarity,depth,table,x,y,z,log_carat,std_dim,clarity_num,color_num,max_dim,max_dim_classif,mean_dim,mudim_carat,mudim_carat_classif,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,-0.09431067947124129,0.06562541027430117,1,4,6.18,PEQUENO,5.39,5.9230769230769225,>5,3285.99943997934
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,-0.9675840262617056,0.07195210596771581,3,2,4.71,PEQUENO,4.073333333333333,10.719298245614034,>5,830.3084580051624
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,-0.6539264674066639,0.068716197900094,3,4,5.19,PEQUENO,4.516666666666667,8.685897435897436,>5,1497.443460945437
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,0.09531017980432493,0.06978389487428105,4,3,6.69,PEQUENO,5.81,5.281818181818181,>5,6853.961642844981
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,0.8241754429663494,0.06914725542414282,1,3,8.44,>8,7.329999999999999,3.2149122807017543,PEQUENO,15350.898960451384
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,0.6981347220709843,0.07079424508515672,3,6,8.16,>8,7.060000000000001,3.5124378109452747,PEQUENO,13246.310794104165
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,0.058268908123975824,0.06805656484552848,1,3,6.51,PEQUENO,5.68,5.3584905660377355,>5,4610.149383887251
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,-0.35667494393873245,0.07223837295581728,2,1,5.83,PEQUENO,5.046666666666667,7.2095238095238106,>5,2354.770412404258
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,-0.31471074483970024,0.07314116654058263,3,5,5.94,PEQUENO,5.086666666666667,6.968036529680366,>5,2239.8213945410384
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,-0.31471074483970024,0.06916209142829337,7,4,5.82,PEQUENO,5.066666666666667,6.940639269406394,>5,3333.982212027897
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,0.0,0.06407542107653844,3,0,6.33,PEQUENO,5.533333333333334,5.533333333333334,>5,5791.29890878791
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,-1.1086626245216111,0.07239176601650948,5,3,4.51,PEQUENO,3.896666666666667,11.808080808080808,>5,907.6332298401014
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,-0.616186139423817,0.06911438844484176,5,6,5.25,PEQUENO,4.57,8.462962962962964,>5,1349.073506556666
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,-1.1086626245216111,0.06858686141162025,3,0,4.49,PEQUENO,3.9066666666666663,11.838383838383837,>5,807.1246078146339
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,-0.6733445532637656,0.0634377619739877,3,0,5.06,PEQUENO,4.446666666666666,8.718954248366012,>5,1483.5804398354126
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,-0.6733445532637656,0.06763660608142127,2,1,5.14,PEQUENO,4.473333333333334,8.77124183006536,>5,1466.602747219033
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,-1.2039728043259361,0.06586167529491017,2,5,4.29,PEQUENO,3.746666666666666,12.488888888888887,>5,442.629347301796
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,0.9783261227936078,0.06371226194857726,1,4,8.71,>8,7.646666666666666,2.874686716791979,PEQUENO,15905.523069573226
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,-0.08338160893905101,0.06879592855089064,2,2,6.25,PEQUENO,5.436666666666667,5.909420289855073,>5,3983.319307489338
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,-1.2039728043259361,0.06800289809283212,7,3,4.32,PEQUENO,3.766666666666667,12.555555555555557,>5,849.6777382963251
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,0.0,0.06834653941856803,2,4,6.47,PEQUENO,5.633333333333333,5.633333333333333,>5,5000.122699713086
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,-1.0788096613719298,0.07045885820532544,4,2,4.54,PEQUENO,3.936666666666667,11.57843137254902,>5,756.1058699137104
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,0.009950330853168092,0.06747100148427151,1,2,6.41,PEQUENO,5.590000000000001,5.534653465346535,>5,4297.69663888478
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,-0.13926206733350766,0.06841972149760182,4,2,6.13,PEQUENO,5.34,6.137931034482759,>5,4536.236828016825
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,0.23111172096338664,0.06850759890007999,1,0,6.88,PEQUENO,5.976666666666667,4.743386243386244,PEQUENO,6101.835544888284
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,-0.9675840262617056,0.07214162144611598,4,1,4.71,PEQUENO,4.0633333333333335,10.692982456140351,>5,1065.7821101773973
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,-0.5978370007556204,0.06773505622420951,5,2,5.29,PEQUENO,4.616666666666666,8.393939393939393,>5,2471.000189172297
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,-0.4307829160924542,0.06858203834636076,2,3,5.54,PEQUENO,4.823333333333333,7.42051282051282,>5,1787.2975044102477
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,-0.8915981192837836,0.0679364051282202,5,0,4.8,PEQUENO,4.1866666666666665,10.211382113821138,>5,1171.0426269418542
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,-0.35667494393873245,0.06600185613002203,0,5,5.62,PEQUENO,4.916666666666667,7.023809523809525,>5,1150.0706722235207
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,0.02955880224154443,0.06662230418161513,4,5,6.5,PEQUENO,5.673333333333333,5.508090614886731,>5,4359.71388261326
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,-1.0788096613719298,0.06996902589524548,5,2,4.56,PEQUENO,3.9533333333333327,11.627450980392155,>5,899.7687958680497
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,-0.31471074483970024,0.06903210170784031,6,5,5.84,PEQUENO,5.076666666666667,6.95433789954338,>5,2632.878477725617
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,-0.18632957819149348,0.06811954081536661,1,0,6.04,PEQUENO,5.26,6.337349397590361,>5,3464.0892243128455
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,-0.6733445532637656,0.06642345875268228,2,3,5.13,PEQUENO,4.483333333333333,8.790849673202615,>5,1240.47685310773
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,0.058268908123975824,0.06976492816778666,3,1,6.57,PEQUENO,5.71,5.386792452830188,>5,7790.712909398454
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,-0.8915981192837836,0.06884443009826978,4,0,4.8,PEQUENO,4.166666666666667,10.162601626016261,>5,1141.0678478053
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,0.02955880224154443,0.07173305196401968,3,2,6.59,PEQUENO,5.706666666666666,5.540453074433656,>5,6582.352719649617
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,-1.1394342831883648,0.06977708404455346,2,0,4.46,PEQUENO,3.8633333333333337,12.072916666666668,>5,691.3558103206426
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,-1.2039728043259361,0.06709925167471249,4,6,4.32,PEQUENO,3.76,12.533333333333333,>5,512.4269073042809
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,-1.1394342831883648,0.07229531845394382,5,0,4.44,PEQUENO,3.8366666666666673,11.989583333333336,>5,884.3279276376104
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,-1.1086626245216111,0.06893979551836958,4,3,4.47,PEQUENO,3.8866666666666667,11.777777777777777,>5,821.3415596972377
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,-1.3862943611198906,0.06688041733493848,4,3,4.08,PEQUENO,3.56,14.24,>5,423.72891002411035
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,-1.2039728043259361,0.07042436544656483,4,2,4.37,PEQUENO,3.793333333333333,12.644444444444444,>5,604.0852598669314
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,0.23111172096338664,0.07250267836692814,7,2,7.09,PEQUENO,6.123333333333332,4.859788359788359,PEQUENO,11806.850703339825
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,0.131028262406404,0.06918379241021859,4,6,6.73,PEQUENO,5.86,5.140350877192983,>5,5317.320858282897
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,0.412109650826833,0.0667235682888191,2,4,7.22,PEQUENO,6.289999999999999,4.1655629139072845,PEQUENO,8325.364877878505
