,country,happiness_rank,happiness_score,gdp_per_capita,family,health_life_expectancy,freedom,corruption,generosity,dystopia,year,social_support,region_cons
0,Switzerland,1,7.587,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2.51738,2015,,Western Europe
1,Switzerland,2,7.509,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,2016,,Western Europe
2,Switzerland,4,7.49399995803833,1.56497955322266,1.51691174507141,0.858131289482117,0.620070576667786,0.367007285356522,0.290549278259277,2.2767162322998,2017,,Western Europe
3,Switzerland,5,7.487,1.42,,0.927,0.66,0.357,0.256,,2018,1.549,Western Europe
4,Switzerland,6,7.48,1.452,,1.052,0.572,0.343,0.263,,2019,1.526,Western Europe
5,Iceland,2,7.561,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,2.70201,2015,,Western Europe
6,Iceland,3,7.501,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,2.83137,2016,,Western Europe
7,Iceland,3,7.50400018692017,1.480633020401,1.6105740070343,0.833552122116089,0.627162635326385,0.153526559472084,0.475540220737457,2.32271528244019,2017,,Western Europe
8,Iceland,4,7.495,1.343,,0.914,0.677,0.138,0.353,,2018,1.644,Western Europe
9,Iceland,4,7.494,1.38,,1.026,0.591,0.118,0.354,,2019,1.624,Western Europe
10,Denmark,3,7.527,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,2.49204,2015,,Western Europe
11,Denmark,1,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,2.73939,2016,,Western Europe
12,Denmark,2,7.52199983596802,1.48238301277161,1.55112159252167,0.792565524578094,0.626006722450256,0.40077006816864,0.355280488729477,2.31370735168457,2017,,Western Europe
13,Denmark,3,7.555,1.351,,0.868,0.683,0.408,0.284,,2018,1.59,Western Europe
14,Denmark,2,7.6,1.383,,0.996,0.592,0.41,0.252,,2019,1.573,Western Europe
15,Norway,4,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531,2015,,Western Europe
16,Norway,4,7.498,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,2.66465,2016,,Western Europe
17,Norway,1,7.53700017929077,1.61646318435669,1.53352355957031,0.796666502952576,0.635422587394714,0.315963834524155,0.36201223731041,2.27702665328979,2017,,Western Europe
18,Norway,2,7.594,1.456,,0.861,0.686,0.34,0.286,,2018,1.582,Western Europe
19,Norway,3,7.554,1.488,,1.028,0.603,0.341,0.271,,2019,1.582,Western Europe
20,Canada,5,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,2015,,North America
21,Canada,6,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,2.70485,2016,,North America
22,Canada,7,7.31599998474121,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.287371516227722,0.435539722442627,2.18726444244385,2017,,North America
23,Canada,7,7.328,1.33,,0.896,0.653,0.291,0.321,,2018,1.532,North America
24,Canada,9,7.278,1.365,,1.039,0.584,0.308,0.285,,2019,1.505,North America
25,Finland,6,7.406,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,2.61955,2015,,Western Europe
26,Finland,5,7.413,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,2.82596,2016,,Western Europe
27,Finland,5,7.4689998626709,1.44357192516327,1.5402467250824,0.80915766954422,0.617950856685638,0.38261154294014,0.24548277258873,2.4301815032959,2017,,Western Europe
28,Finland,1,7.632,1.305,,0.874,0.681,0.393,0.202,,2018,1.592,Western Europe
29,Finland,1,7.769,1.34,,0.986,0.596,0.393,0.153,,2019,1.587,Western Europe
30,Netherlands,7,7.378,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,2.4657,2015,,Western Europe
31,Netherlands,7,7.339,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,2.70749,2016,,Western Europe
32,Netherlands,6,7.3769998550415,1.50394463539124,1.42893922328949,0.810696125030518,0.585384488105774,0.282661825418472,0.470489829778671,2.29480409622192,2017,,Western Europe
33,Netherlands,6,7.441,1.361,,0.878,0.638,0.295,0.333,,2018,1.488,Western Europe
34,Netherlands,5,7.488,1.396,,0.999,0.557,0.298,0.322,,2019,1.522,Western Europe
35,Sweden,8,7.364,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2.37119,2015,,Western Europe
36,Sweden,10,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,2016,,Western Europe
37,Sweden,9,7.28399991989136,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.384398728609085,0.385399252176285,2.09753799438477,2017,,Western Europe
38,Sweden,9,7.314,1.355,,0.913,0.659,0.383,0.285,,2018,1.501,Western Europe
39,Sweden,7,7.343,1.387,,1.009,0.574,0.373,0.267,,2019,1.487,Western Europe
40,New Zealand,9,7.286,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2.26425,2015,,Australia and New Zealand
41,New Zealand,8,7.334,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,2.47553,2016,,Australia and New Zealand
42,New Zealand,8,7.31400012969971,1.40570604801178,1.54819512367249,0.816759705543518,0.614062130451202,0.382816702127457,0.500005125999451,2.0464563369751,2017,,Australia and New Zealand
43,New Zealand,8,7.324,1.268,,0.876,0.669,0.389,0.365,,2018,1.601,Australia and New Zealand
44,New Zealand,8,7.307,1.303,,1.026,0.585,0.38,0.33,,2019,1.557,Australia and New Zealand
45,Australia,10,7.284,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646,2015,,Australia and New Zealand
46,Australia,9,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2.5465,2016,,Australia and New Zealand
47,Australia,10,7.28399991989136,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.301183730363846,0.477699249982834,2.06521081924438,2017,,Australia and New Zealand
48,Australia,10,7.272,1.34,,0.91,0.647,0.302,0.361,,2018,1.573,Australia and New Zealand
49,Australia,11,7.228,1.372,,1.036,0.557,0.29,0.332,,2019,1.548,Australia and New Zealand
50,Israel,11,7.278,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,3.08854,2015,,Middle East and Northern Africa
51,Israel,11,7.267,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,3.31029,2016,,Middle East and Northern Africa
52,Israel,11,7.21299982070923,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.0852421000599861,0.330082654953003,2.80175733566284,2017,,Middle East and Northern Africa
53,Israel,19,6.814,1.301,,0.883,0.533,0.272,0.354,,2018,1.559,Middle East and Northern Africa
54,Israel,13,7.139,1.276,,1.029,0.371,0.082,0.261,,2019,1.455,Middle East and Northern Africa
